Read Number,Lev Distance,Read Depth of this one plus last one,Lev D/Read Depth
233,9,112,0.08035714285714286
469,9,112,0.08035714285714286
472,9,107,0.08411214953271028
705,9,117,0.07692307692307693
1022,9,102,0.08823529411764706
1049,9,108,0.08333333333333333
2712,9,71,0.1267605633802817
2911,9,39,0.23076923076923078
4479,9,56,0.16071428571428573
4659,9,128,0.0703125
4743,9,123,0.07317073170731707
4823,9,112,0.08035714285714286
4830,9,108,0.08333333333333333
5682,9,228,0.039473684210526314
5717,9,204,0.04411764705882353
5721,9,170,0.052941176470588235
5729,9,200,0.045
5731,9,202,0.04455445544554455
5772,9,247,0.03643724696356275
5794,9,209,0.0430622009569378
5816,9,186,0.04838709677419355
5817,9,185,0.04864864864864865
5821,9,183,0.04918032786885246
5822,9,185,0.04864864864864865
5824,9,188,0.047872340425531915
5830,9,213,0.04225352112676056
5831,9,214,0.04205607476635514
5845,9,242,0.0371900826446281
5874,9,248,0.036290322580645164
5888,9,257,0.03501945525291829
5892,9,271,0.033210332103321034
5948,9,274,0.032846715328467155
5953,9,280,0.03214285714285714
5954,9,280,0.03214285714285714
5971,9,339,0.02654867256637168
5991,9,286,0.03146853146853147
5996,9,288,0.03125
5997,9,288,0.03125
6006,9,309,0.02912621359223301
6012,9,311,0.028938906752411574
6013,9,316,0.028481012658227847
6014,9,321,0.028037383177570093
6026,9,318,0.02830188679245283
6040,9,323,0.02786377708978328
6041,9,323,0.02786377708978328
6044,9,314,0.028662420382165606
6047,9,310,0.02903225806451613
6070,9,326,0.027607361963190184
6095,9,344,0.02616279069767442
6130,9,310,0.02903225806451613
6140,9,345,0.02608695652173913
6175,9,316,0.028481012658227847
6185,9,316,0.028481012658227847
6190,9,303,0.0297029702970297
6223,9,281,0.03202846975088968
6227,9,280,0.03214285714285714
6235,9,281,0.03202846975088968
6259,9,282,0.031914893617021274
6263,9,286,0.03146853146853147
6284,9,270,0.03333333333333333
6291,9,246,0.036585365853658534
6315,9,228,0.039473684210526314
6331,9,241,0.03734439834024896
6333,9,247,0.03643724696356275
6336,9,260,0.03461538461538462
6360,9,246,0.036585365853658534
6362,9,244,0.036885245901639344
6363,9,242,0.0371900826446281
6366,9,240,0.0375
6369,9,238,0.037815126050420166
6370,9,238,0.037815126050420166
6374,9,247,0.03643724696356275
6391,9,260,0.03461538461538462
6394,9,244,0.036885245901639344
6407,9,279,0.03225806451612903
6410,9,270,0.03333333333333333
6417,9,270,0.03333333333333333
6431,9,256,0.03515625
6438,9,262,0.03435114503816794
6439,9,262,0.03435114503816794
6457,9,251,0.035856573705179286
6464,9,253,0.03557312252964427
6477,9,298,0.030201342281879196
6495,9,287,0.0313588850174216
6496,9,288,0.03125
6512,9,287,0.0313588850174216
6530,9,315,0.02857142857142857
6540,9,333,0.02702702702702703
6554,9,302,0.029801324503311258
6555,9,305,0.029508196721311476
6562,9,294,0.030612244897959183
6566,9,288,0.03125
6580,9,276,0.03260869565217391
6608,9,301,0.029900332225913623
6620,9,291,0.030927835051546393
6634,9,274,0.032846715328467155
6636,9,272,0.03308823529411765
6637,9,272,0.03308823529411765
6640,9,262,0.03435114503816794
6645,9,261,0.034482758620689655
6687,9,328,0.027439024390243903
6705,9,308,0.02922077922077922
6710,9,304,0.029605263157894735
6730,9,315,0.02857142857142857
6731,9,313,0.02875399361022364
6733,9,308,0.02922077922077922
